"Vielser efter mandens eller ældste persons bopæl, mandens eller ældste"
"persons alder og tid"

" "," ","2023"
"Aarhus"
" ","20 år",2
" ","21 år",6
" ","22 år",18
" ","23 år",30
" ","24 år",43
" ","25 år",49
" ","26 år",90
" ","27 år",118
" ","28 år",132
" ","29 år",162
" ","30 år",144

"Oplysninger om &quot;manden eller ældste person&quot; vedrører mænd i "
"ægtepar med to af forskelligt køn og den ældste person i ægtepar med "
"to af samme køn. Oplysninger om &quot;Kvinden eller yngste "
"person&quot; vedrører kvinder i ægtepar med to af forskelligt køn og "
"den yngste person i ægtepar med to af samme køn. Vielser mellem to "
"med samme køn udgør 1-2 pct. af vielserne. "

